"Subject"	"Activity_Name"	"Time_Body_Accelerometer_Mean_X"	"Time_Body_Accelerometer_Mean_Y"	"Time_Body_Accelerometer_Mean_Z"	"Time_Body_Accelerometer_StdDev_X"	"Time_Body_Accelerometer_StdDev_Y"	"Time_Body_Accelerometer_StdDev_Z"	"Time_Gravity_Accelerometer_Mean_X"	"Time_Gravity_Accelerometer_Mean_Y"	"Time_Gravity_Accelerometer_Mean_Z"	"Time_Gravity_Accelerometer_StdDev_X"	"Time_Gravity_Accelerometer_StdDev_Y"	"Time_Gravity_Accelerometer_StdDev_Z"	"Time_Body_Accelerometer_Jerk_Mean_X"	"Time_Body_Accelerometer_Jerk_Mean_Y"	"Time_Body_Accelerometer_Jerk_Mean_Z"	"Time_Body_Accelerometer_Jerk_StdDev_X"	"Time_Body_Accelerometer_Jerk_StdDev_Y"	"Time_Body_Accelerometer_Jerk_StdDev_Z"	"Time_Body_Gyroscope_Mean_X"	"Time_Body_Gyroscope_Mean_Y"	"Time_Body_Gyroscope_Mean_Z"	"Time_Body_Gyroscope_StdDev_X"	"Time_Body_Gyroscope_StdDev_Y"	"Time_Body_Gyroscope_StdDev_Z"	"Time_Body_Gyroscope_Jerk_Mean_X"	"Time_Body_Gyroscope_Jerk_Mean_Y"	"Time_Body_Gyroscope_Jerk_Mean_Z"	"Time_Body_Gyroscope_Jerk_StdDev_X"	"Time_Body_Gyroscope_Jerk_StdDev_Y"	"Time_Body_Gyroscope_Jerk_StdDev_Z"	"Time_Body_Accelerometer_Magnitude_Mean"	"Time_Body_Accelerometer_Magnitude_StdDev"	"Time_Gravity_Accelerometer_Magnitude_Mean"	"Time_Gravity_Accelerometer_Magnitude_StdDev"	"Time_Body_Accelerometer_Jerk_Magnitude_Mean"	"Time_Body_Accelerometer_Jerk_Magnitude_StdDev"	"Time_Body_Gyroscope_Magnitude_Mean"	"Time_Body_Gyroscope_Magnitude_StdDev"	"Time_Body_Gyroscope_Jerk_Magnitude_Mean"	"Time_Body_Gyroscope_Jerk_Magnitude_StdDev"	"Freq_Body_Accelerometer_Mean_X"	"Freq_Body_Accelerometer_Mean_Y"	"Freq_Body_Accelerometer_Mean_Z"	"Freq_Body_Accelerometer_StdDev_X"	"Freq_Body_Accelerometer_StdDev_Y"	"Freq_Body_Accelerometer_StdDev_Z"	"Freq_Body_Accelerometer_Jerk_Mean_X"	"Freq_Body_Accelerometer_Jerk_Mean_Y"	"Freq_Body_Accelerometer_Jerk_Mean_Z"	"Freq_Body_Accelerometer_Jerk_StdDev_X"	"Freq_Body_Accelerometer_Jerk_StdDev_Y"	"Freq_Body_Accelerometer_Jerk_StdDev_Z"	"Freq_Body_Gyroscope_Mean_X"	"Freq_Body_Gyroscope_Mean_Y"	"Freq_Body_Gyroscope_Mean_Z"	"Freq_Body_Gyroscope_StdDev_X"	"Freq_Body_Gyroscope_StdDev_Y"	"Freq_Body_Gyroscope_StdDev_Z"	"Freq_Body_Accelerometer_Magnitude_Mean"	"Freq_Body_Accelerometer_Magnitude_StdDev"	"Freq_Body_Accelerometer_Jerk_Magnitude_Mean"	"Freq_Body_Accelerometer_Jerk_Magnitude_StdDev"	"Freq_Body_Gyroscope_Magnitude_Mean"	"Freq_Body_Gyroscope_Magnitude_StdDev"	"Freq_Body_Gyroscope_Jerk_Magnitude_Mean"	"Freq_Body_Gyroscope_Jerk_Magnitude_StdDev"
1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
